CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,Phone_Clean
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,Bilinmiyor,12209,Germany,030-0074321,030-0076545,0300074321
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,Bilinmiyor,05021,Mexico,(5) 555-4729,(5) 555-3745,55554729
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,Bilinmiyor,05023,Mexico,(5) 555-3932,Yok,55553932
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,Bilinmiyor,WA1 1DP,UK,(171) 555-7788,(171) 555-6750,1715557788
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,Bilinmiyor,S-958 22,Sweden,0921-12 34 65,0921-12 34 67,0921123465
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,Bilinmiyor,68306,Germany,0621-08460,0621-08924,062108460
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,Bilinmiyor,67000,France,88.60.15.31,88.60.15.32,88.60.15.31
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,"C/ Araquil, 67",Madrid,Bilinmiyor,28023,Spain,(91) 555 22 82,(91) 555 91 99,915552282
BONAP,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,Bilinmiyor,13008,France,91.24.45.40,91.24.45.41,91.24.45.40
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745,6045554729
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,Bilinmiyor,EC2 5NT,UK,(171) 555-1212,Yok,1715551212
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,Bilinmiyor,1010,Argentina,(1) 135-5555,(1) 135-4892,11355555
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,Bilinmiyor,05022,Mexico,(5) 555-3392,(5) 555-7293,55553392
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,Bilinmiyor,3012,Switzerland,0452-076545,Yok,0452076545
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,Yok,115557647
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,Bilinmiyor,WX1 6LT,UK,(171) 555-2282,(171) 555-9199,1715552282
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,Bilinmiyor,52066,Germany,0241-039123,0241-059428,0241039123
DUMON,Du monde entier,Janine Labrune,Owner,"67, rue des Cinquante Otages",Nantes,Bilinmiyor,44000,France,40.67.88.88,40.67.89.89,40.67.88.88
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,Bilinmiyor,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,1715550297
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,Bilinmiyor,8010,Austria,7675-3425,7675-3426,76753425
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,Yok,115559857
