CustomerID,Alice Mutton,Aniseed Syrup,Boston Crab Meat,Camembert Pierrot,Carnarvon Tigers,Chai,Chang,Chartreuse verte,Chef Anton's Cajun Seasoning,Chef Anton's Gumbo Mix,Chocolade,Côte de Blaye,Escargots de Bourgogne,Filo Mix,Flotemysost,Geitost,Genen Shouyu,Gnocchi di nonna Alice,Gorgonzola Telino,Grandma's Boysenberry Spread,Gravad lax,Guaraná Fantástica,Gudbrandsdalsost,Gula Malacca,Gumbär Gummibärchen,Gustaf's Knäckebröd,Ikura,Inlagd Sill,Ipoh Coffee,Jack's New England Clam Chowder,Konbu,Lakkalikööri,Laughing Lumberjack Lager,Longlife Tofu,Louisiana Fiery Hot Pepper Sauce,Louisiana Hot Spiced Okra,Manjimup Dried Apples,Mascarpone Fabioli,Maxilaku,Mishi Kobe Niku,Mozzarella di Giovanni,Nord-Ost Matjeshering,Northwoods Cranberry Sauce,NuNuCa Nuß-Nougat-Creme,Original Frankfurter grüne Soße,Outback Lager,Pavlova,Perth Pasties,Pâté chinois,Queso Cabrales,Queso Manchego La Pastora,Raclette Courdavault,Ravioli Angelo,Rhönbräu Klosterbier,Rogede sild,Röd Kaviar,Rössle Sauerkraut,Sasquatch Ale,Schoggi Schokolade,Scottish Longbreads,Singaporean Hokkien Fried Mee,Sir Rodney's Marmalade,Sir Rodney's Scones,Sirop d'érable,Spegesild,Steeleye Stout,Tarte au sucre,Teatime Chocolate Biscuits,Thüringer Rostbratwurst,Tofu,Tourtière,Tunnbröd,Uncle Bob's Organic Dried Pears,Valkoinen suklaa,Vegie-spread,Wimmers gute Semmelknödel,Zaanse koeken
ALFKI,0,6,0,0,0,0,0,21,0,0,0,0,40,0,20,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,0,0
ANATR,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0
ANTON,18,0,10,0,0,0,20,0,0,0,15,0,0,0,0,38,0,0,0,0,0,0,0,0,30,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,0,74,0,15,5,30,0,0,0,40,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AROUT,0,0,0,15,0,0,15,0,0,0,15,0,0,38,12,0,0,20,115,0,0,25,0,0,0,4,0,16,0,14,20,0,15,0,0,0,20,0,0,0,0,0,0,0,0,53,0,18,21,0,0,0,65,0,0,3,0,0,0,0,0,50,0,0,28,4,0,0,0,0,0,0,0,39,0,0,25
BERGS,10,30,75,35,0,35,21,26,12,0,0,15,0,25,32,0,0,0,0,0,0,18,0,16,50,0,22,0,60,40,6,21,0,0,0,0,0,10,15,0,0,50,0,0,0,0,12,12,20,0,0,15,0,51,0,25,50,0,0,0,0,28,0,0,0,8,0,25,10,16,36,0,0,0,8,0,61
BLAUS,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,14
BLONP,30,0,0,0,18,25,0,60,0,0,0,10,0,20,0,0,0,40,85,0,0,0,0,0,0,0,14,0,0,12,0,10,0,0,0,0,0,0,35,0,20,0,0,0,0,20,0,0,18,35,0,12,15,24,0,0,30,0,0,0,0,0,0,0,5,0,35,0,35,0,28,0,0,0,0,30,0
BOLID,40,0,0,0,0,0,0,0,24,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
BONAP,16,0,45,0,50,0,0,21,50,0,0,0,0,0,30,0,0,30,3,50,0,0,25,0,0,0,36,30,40,12,20,20,0,0,10,0,40,0,0,0,16,0,10,50,0,0,57,0,0,0,0,0,14,20,0,0,0,0,0,0,30,0,0,0,21,0,14,0,0,0,39,15,58,0,0,28,30
BOTTM,56,20,50,75,0,60,0,0,0,0,0,0,0,0,0,49,0,18,0,12,0,30,0,58,0,0,46,0,9,25,0,0,0,0,0,0,0,0,0,0,35,0,16,60,0,30,0,0,15,5,0,25,0,10,0,0,0,0,0,42,20,0,0,0,0,0,101,0,0,0,0,0,20,0,0,0,30
